date;sek
2025-12-24;55,76
2025-12-23;335,16
2025-12-22;629,04
2025-12-21;58,91
2025-12-20;25,85
2025-12-19;35,61
2025-12-18;46,37
2025-12-17;265,00
2025-12-16;256,83
2025-12-15;186,30
2025-12-14;280,37
2025-12-13;355,91
2025-12-12;444,45
2025-12-11;454,93
2025-12-10;342,26
2025-12-09;771,60
2025-12-08;487,42
2025-12-07;289,00
2025-12-06;192,31
2025-12-05;1 279,09
2025-12-04;1 082,00
2025-12-03;193,69
2025-12-02;154,75
2025-12-01;585,09
2025-11-30;263,16
2025-11-29;33,78
2025-11-28;40,44
2025-11-27;49,87
2025-11-26;63,34
2025-11-25;235,86
2025-11-24;831,54
2025-11-23;580,69
2025-11-22;155,44
2025-11-21;1 525,55
2025-11-20;1 373,99
2025-11-19;1 322,13
2025-11-18;1 168,24
2025-11-17;740,47
2025-11-16;102,02
2025-11-15;-4,13
2025-11-14;60,66
2025-11-13;10,56
2025-11-12;5,49
2025-11-11;355,83
2025-11-10;537,48
2025-11-09;70,60
2025-11-08;265,51
2025-11-07;325,83
2025-11-06;47,41
2025-11-05;2,90
2025-11-04;4,06
2025-11-03;40,52
2025-11-02;13,18
2025-11-01;77,46
2025-10-31;202,55
2025-10-30;401,50
2025-10-29;693,65
2025-10-28;527,59
2025-10-27;154,34
2025-10-26;48,75
2025-10-25;40,25
2025-10-24;189,56
2025-10-23;450,00
2025-10-22;28,78
2025-10-21;46,17
2025-10-20;437,67
2025-10-19;42,30
2025-10-18;45,58
2025-10-17;63,51
2025-10-16;21,47
2025-10-15;23,12
2025-10-14;178,99
2025-10-13;144,37
2025-10-12;6,82
2025-10-11;6,32
2025-10-10;3,90
2025-10-09;22,30
2025-10-08;50,07
2025-10-07;31,43
2025-10-06;140,78
2025-10-05;23,78
2025-10-04;11,99
2025-10-03;18,21
2025-10-02;46,17
2025-10-01;75,75
2025-09-30;123,11
2025-09-29;52,78
2025-09-28;61,21
2025-09-27;127,20
2025-09-26;359,40
2025-09-25;104,97
2025-09-24;67,35
2025-09-23;27,35
2025-09-22;12,63
2025-09-21;13,78
2025-09-20;53,78
2025-09-19;236,14
2025-09-18;317,87
2025-09-17;248,35
2025-09-16;122,60
2025-09-15;68,80
2025-09-14;139,18
2025-09-13;72,17
2025-09-12;42,77
2025-09-11;30,54
2025-09-10;135,50
2025-09-09;649,31
2025-09-08;979,18
2025-09-07;158,67
2025-09-06;149,89
2025-09-05;128,54
2025-09-04;48,12
2025-09-03;123,78
2025-09-02;108,88
2025-09-01;130,97
2025-08-31;201,86
2025-08-30;344,56
2025-08-29;794,66
2025-08-28;1 241,84
2025-08-27;984,05
2025-08-26;744,73
2025-08-25;176,83
2025-08-24;31,23
2025-08-23;77,01
2025-08-22;663,35
2025-08-21;400,20
2025-08-20;245,32
2025-08-19;40,07
2025-08-18;108,56
2025-08-17;22,18
2025-08-16;20,66
2025-08-15;39,77
2025-08-14;175,02
2025-08-13;234,18
2025-08-12;95,89
2025-08-11;84,99
2025-08-10;10,11
2025-08-09;58,77
2025-08-08;50,87
2025-08-07;34,74
