date,pm25
2024-07-24T00:00:00.000Z,6.92
2024-07-25T00:00:00.000Z,3.9
2024-07-26T00:00:00.000Z,3.62
2024-07-27T00:00:00.000Z,6.97
2024-07-28T00:00:00.000Z,1.7
2024-07-29T00:00:00.000Z,1.92
2024-07-30T00:00:00.000Z,1.6
2024-07-31T00:00:00.000Z,4.82
2024-08-01T00:00:00.000Z,1.37
2024-08-02T00:00:00.000Z,1.8
2024-08-03T00:00:00.000Z,3.17
2024-08-04T00:00:00.000Z,3.58
2024-08-05T00:00:00.000Z,4.05
2024-08-06T00:00:00.000Z,4.82
2024-08-07T00:00:00.000Z,4.82
2024-08-08T00:00:00.000Z,3.88
2024-08-09T00:00:00.000Z,2.04
2024-08-10T00:00:00.000Z,0.77
2024-08-11T00:00:00.000Z,0.52
2024-08-12T00:00:00.000Z,0.4
2024-08-13T00:00:00.000Z,1.1
2024-08-14T00:00:00.000Z,1.3
2024-08-15T00:00:00.000Z,2.22
2024-08-16T00:00:00.000Z,0.88
2024-08-17T00:00:00.000Z,1.27
2024-08-18T00:00:00.000Z,1.83
2024-08-19T00:00:00.000Z,0.92
2024-08-20T00:00:00.000Z,3
2024-08-21T00:00:00.000Z,3.6
2024-08-22T00:00:00.000Z,1.75
2024-08-23T00:00:00.000Z,1.48
2024-08-24T00:00:00.000Z,0.9
2024-08-25T00:00:00.000Z,1.5
2024-08-26T00:00:00.000Z,1.02
2024-08-27T00:00:00.000Z,1.8
2024-08-28T00:00:00.000Z,2.75
2024-08-29T00:00:00.000Z,5.12
2024-08-30T00:00:00.000Z,3.85
2024-08-31T00:00:00.000Z,1.6
2024-09-01T00:00:00.000Z,2.75
2024-09-02T00:00:00.000Z,2.29
2024-09-03T00:00:00.000Z,2.13
2024-09-04T00:00:00.000Z,3.63
2024-09-05T00:00:00.000Z,7.32
2024-09-06T00:00:00.000Z,8.19
2024-09-07T00:00:00.000Z,7.75
2024-09-08T00:00:00.000Z,7.88
2024-09-09T00:00:00.000Z,6.89
2024-09-10T00:00:00.000Z,1.63
2024-09-11T00:00:00.000Z,1.12
2024-09-12T00:00:00.000Z,1.14
2024-09-13T00:00:00.000Z,1
2024-09-14T00:00:00.000Z,0.9
2024-09-15T00:00:00.000Z,1.12
2024-09-16T00:00:00.000Z,1.12
2024-09-17T00:00:00.000Z,1.2
2024-09-18T00:00:00.000Z,1.35
2024-09-19T00:00:00.000Z,1.6
2024-09-20T00:00:00.000Z,1.3
2024-09-21T00:00:00.000Z,0.95
2024-09-22T00:00:00.000Z,1.27
2024-09-23T00:00:00.000Z,4.13
2024-09-24T00:00:00.000Z,6.53
2024-09-25T00:00:00.000Z,2.95
2024-09-26T00:00:00.000Z,0.35
2024-09-27T00:00:00.000Z,0.55
2024-09-28T00:00:00.000Z,0.22
2024-09-29T00:00:00.000Z,0.32
2024-09-30T00:00:00.000Z,0.5
2024-10-01T00:00:00.000Z,1.02
2024-10-02T00:00:00.000Z,1.05
2024-10-03T00:00:00.000Z,0.5
2024-10-04T00:00:00.000Z,0.43
2024-10-05T00:00:00.000Z,0.8
2024-10-06T00:00:00.000Z,0.55
2024-10-07T00:00:00.000Z,0.67
2024-10-08T00:00:00.000Z,1.7
2024-10-09T00:00:00.000Z,0.6
2024-10-10T00:00:00.000Z,0.4
2024-10-11T00:00:00.000Z,0.73
2024-10-12T00:00:00.000Z,0.4
2024-10-13T00:00:00.000Z,1.23
2024-10-14T00:00:00.000Z,0.73
2024-10-15T00:00:00.000Z,0.6
2024-10-16T00:00:00.000Z,0.73
2024-10-17T00:00:00.000Z,1.6
2024-10-18T00:00:00.000Z,1.45
2024-10-19T00:00:00.000Z,1.1
2024-10-20T00:00:00.000Z,1.77
2024-10-21T00:00:00.000Z,1.42
2024-10-22T00:00:00.000Z,0.9
2024-10-23T00:00:00.000Z,0.13
2024-10-24T00:00:00.000Z,1.2
2024-10-25T00:00:00.000Z,1.48
2024-10-26T00:00:00.000Z,1.02
2024-10-27T00:00:00.000Z,1.1
2024-10-28T00:00:00.000Z,0.3
2024-10-29T00:00:00.000Z,0.4
2024-10-30T00:00:00.000Z,0.2
2024-10-31T00:00:00.000Z,0.45
2024-11-01T00:00:00.000Z,0.3
2024-11-02T00:00:00.000Z,0.35
2024-11-03T00:00:00.000Z,0.3
2024-11-04T00:00:00.000Z,0.59
2024-11-05T00:00:00.000Z,0.22
2024-11-06T00:00:00.000Z,0.5
2024-11-07T00:00:00.000Z,0.52
2024-11-08T00:00:00.000Z,0.98
2024-11-09T00:00:00.000Z,0.9
2024-11-10T00:00:00.000Z,0.3
2024-11-11T00:00:00.000Z,0.47
2024-11-12T00:00:00.000Z,0.4
2024-11-13T00:00:00.000Z,0.92
2024-11-14T00:00:00.000Z,0.9
2024-11-15T00:00:00.000Z,0.52
2024-11-16T00:00:00.000Z,0.28
2024-11-17T00:00:00.000Z,0.13
2024-11-18T00:00:00.000Z,0.38
2024-11-19T00:00:00.000Z,0.68
2024-11-20T00:00:00.000Z,0.8
2024-11-21T00:00:00.000Z,1.14
2024-11-22T00:00:00.000Z,0.6
2024-11-23T00:00:00.000Z,0.2
2024-11-24T00:00:00.000Z,0.1
2024-11-25T00:00:00.000Z,1.42
2024-11-26T00:00:00.000Z,1.1
2024-11-27T00:00:00.000Z,0.43
2024-11-28T00:00:00.000Z,0.56
2024-11-29T00:00:00.000Z,0.32
2024-11-30T00:00:00.000Z,0.8
2024-12-01T00:00:00.000Z,0.85
2024-12-02T00:00:00.000Z,0.6
2024-12-03T00:00:00.000Z,0.38
2024-12-04T00:00:00.000Z,0.17
2024-12-05T00:00:00.000Z,0.2
2024-12-06T00:00:00.000Z,1.24
