date,pm25
2025-09-10T00:00:00.000Z,9.8
2025-09-11T00:00:00.000Z,10.5
2025-09-12T00:00:00.000Z,3.7
2025-09-13T00:00:00.000Z,2.2
2025-09-14T00:00:00.000Z,3.15
2025-09-15T00:00:00.000Z,1.85
2025-09-16T00:00:00.000Z,2.9
2025-09-17T00:00:00.000Z,1.5
2025-09-18T00:00:00.000Z,2.29
2025-09-19T00:00:00.000Z,1.7
2025-09-20T00:00:00.000Z,1.4
2025-09-21T00:00:00.000Z,2
2025-09-22T00:00:00.000Z,1.4
2025-09-23T00:00:00.000Z,1.25
2025-09-24T00:00:00.000Z,0.9
2025-09-25T00:00:00.000Z,1.25
2025-09-26T00:00:00.000Z,3.65
2025-09-27T00:00:00.000Z,2.29
2025-09-28T00:00:00.000Z,2.1
2025-09-29T00:00:00.000Z,2.29
2025-09-30T00:00:00.000Z,2.95
2025-10-01T00:00:00.000Z,2.35
2025-10-02T00:00:00.000Z,3.55
2025-10-03T00:00:00.000Z,4.45
2025-10-04T00:00:00.000Z,3.55
2025-10-05T00:00:00.000Z,0.9
2025-10-06T00:00:00.000Z,1.5
2025-10-07T00:00:00.000Z,1.3
2025-10-08T00:00:00.000Z,1.75
2025-10-09T00:00:00.000Z,1.35
2025-10-10T00:00:00.000Z,4.3
2025-10-11T00:00:00.000Z,1.55
2025-10-12T00:00:00.000Z,1.2
2025-10-13T00:00:00.000Z,1.2
2025-10-14T00:00:00.000Z,0.7
2025-10-15T00:00:00.000Z,1.65
2025-10-16T00:00:00.000Z,2
2025-10-17T00:00:00.000Z,1.5
2025-10-18T00:00:00.000Z,2.15
2025-10-19T00:00:00.000Z,3.25
2025-10-20T00:00:00.000Z,5.65
2025-10-21T00:00:00.000Z,4.75
2025-10-22T00:00:00.000Z,2.5
2025-10-23T00:00:00.000Z,2.15
2025-10-24T00:00:00.000Z,3.85
2025-10-25T00:00:00.000Z,0.5
2025-10-26T00:00:00.000Z,0.5
2025-10-27T00:00:00.000Z,0.6
2025-10-28T00:00:00.000Z,2.1
2025-10-29T00:00:00.000Z,3.4
2025-10-30T00:00:00.000Z,1
2025-10-31T00:00:00.000Z,1.1
2025-11-01T00:00:00.000Z,1.8
2025-11-02T00:00:00.000Z,1
2025-11-03T00:00:00.000Z,2.25
2025-11-04T00:00:00.000Z,1.25
2025-11-05T00:00:00.000Z,1.75
2025-11-06T00:00:00.000Z,2.85
2025-11-07T00:00:00.000Z,1
2025-11-08T00:00:00.000Z,1.14
2025-11-09T00:00:00.000Z,0.75
2025-11-10T00:00:00.000Z,0.8
2025-11-11T00:00:00.000Z,0.9
2025-11-12T00:00:00.000Z,0.65
2025-11-13T00:00:00.000Z,3.3
2025-11-14T00:00:00.000Z,1.2
2025-11-15T00:00:00.000Z,0.7
2025-11-16T00:00:00.000Z,0.6
